,IdUs,GeneroUs,NombreUs,CorreoUs,TipoUs,DescripcionUs,StatusUs,TelefonoUs,IdPerm
0,5d53c736ca154e13bbfe9df08151a4dc,male,Tony Gonzalez,tony_gonzalez@senecyt.ec,3,DuqGGrvEpClyAm7TPdrt,Activo,2754593649,ef7549c74e0643ca9150467d580ee297
1,8f3c8e6c49104a65807d0463097c5bd2,male,James Mendez,james_mendez@senecyt.ec,3,HxWwEIDN4KqmvBbiP8vK,Desactivo,2069533000,fd0b3ef4579a4767b893d0c946404193
2,55f75f81faea41df8851724b5b976460,male,George Schwartz,george_schwartz@senecyt.ec,3,RXbsUN1NPLQ6dIovuGML,Desactivo,1513114661,6ddb523337764699bcd62524a2ddcbaa
3,f6abd721d0fe4930baf3452768ce9827,male,Kevin Conner,kevin.conner@senecyt.ec,3,vVSFkrls4XyWcG8wHpZq,Activo,0491230352,b5910c72ad6245479d72c51fe3c98f9f
4,c0b1693509154a09a77ff06765054644,male,Nathan Glass,nathan.glass@senecyt.ec,2,xHB8guyLtAjpTJY1Hp2E,Desactivo,2056974900,4b975e89a1a14d1ab0eafb18d8200e7f
5,e6aeca3c1d0d4b9d93a6b0acabd8484c,male,Terry Sandoval,terry_sandoval@senecyt.ec,3,yme7MQipYXoplmysk1lk,Activo,3301438591,017e6b67f86846b49b6e4f42d95976ab
6,d951a2eacc5d4c7cbf57e70b58aa63f4,male,Larry Hansen,larry.hansen@senecyt.ec,1,7RxCymYZck6XRA9X67Lj,Activo,3682632114,88e1156456cb4895b9f0a57a60dfab9e
7,6975d81002f44e678c2f65f2a82b32e0,female,Janice Shepard,janice.shepard@senecyt.ec,1,5uInBYy2u9id6JhbCJtf,Activo,1458877874,f975952c0efd4e4a9de9a0dc62c4292d
8,086e45a3775f4edba83ad884de761077,female,Alison Schmidt,alison.schmidt@senecyt.ec,2,sETBflSolW91Ie4GBa5H,Activo,6321737388,2d54a82cdd524c1b89714396dfbaa584
9,c45e4a8ffe0048c587747444e49d03eb,male,Anthony Richardson,anthony_richardson@senecyt.ec,2,GjBHUfFTfqRZwQbxxiwl,Desactivo,6565374726,73cf32a3ce7641bcb5f61d4ccdc3608a
10,5cdeacb0489947dc90e4aa09dc5dab37,female,Vicki Allen,vicki.allen@senecyt.ec,3,30Wir8vXUWmzwPmYIEo7,Activo,4997211542,f905a633db1c4ca2b42dcddc690663b0
